K,n_true,n,rho,umbral_bf,p_any,p_true
5,1,100,0.3,4,0.59275,0.58375
5,1,100,0.3,6,0.535,0.529
5,1,100,0.3,10,0.46575,0.46025
5,1,100,0.4,4,0.91175,0.91025
5,1,100,0.4,6,0.88375,0.88225
5,1,100,0.4,10,0.8505,0.84925
5,1,120,0.0,4,0.02675,
5,1,120,0.0,6,0.01825,
5,1,120,0.0,10,0.01025,
5,1,120,0.3,4,0.6945,0.68775
5,1,120,0.3,6,0.6385,0.63375
5,1,120,0.3,10,0.57675,0.57425
5,1,120,0.4,4,0.95675,0.95625
5,1,120,0.4,6,0.94225,0.942
5,1,120,0.4,10,0.91775,0.91725
5,1,140,0.0,4,0.0165,
5,1,140,0.0,6,0.01,
5,1,140,0.0,10,0.00625,
5,1,140,0.3,4,0.78075,0.777
5,1,140,0.3,6,0.73125,0.729
5,1,140,0.3,10,0.67675,0.6755
5,1,140,0.4,4,0.9805,0.98025
5,1,140,0.4,6,0.97175,0.9715
5,1,140,0.4,10,0.95775,0.95775
5,1,160,0.0,4,0.02125,
5,1,160,0.0,6,0.013,
5,1,160,0.0,10,0.007,
5,1,160,0.3,4,0.845,0.843
5,1,160,0.3,6,0.81075,0.8095
5,1,160,0.3,10,0.761,0.75975
5,1,160,0.4,4,0.99175,0.99175
5,1,160,0.4,6,0.98925,0.98925
5,1,160,0.4,10,0.983,0.983
10,1,40,0.0,4,0.08525,
10,1,40,0.0,6,0.05625,
10,1,40,0.0,10,0.0325,
10,1,40,0.3,4,0.21675,0.16475
10,1,40,0.3,6,0.167,0.13275
10,1,40,0.3,10,0.117,0.09825
10,1,40,0.4,4,0.412,0.371
10,1,40,0.4,6,0.3315,0.30475
10,1,40,0.4,10,0.247,0.23125
10,1,50,0.0,4,0.08025,
10,1,50,0.0,6,0.051,
10,1,50,0.0,10,0.0295,
10,1,50,0.3,4,0.285,0.24075
10,1,50,0.3,6,0.22375,0.191
10,1,50,0.3,10,0.1665,0.14625
10,1,50,0.4,4,0.52125,0.494
10,1,50,0.4,6,0.4535,0.4335
10,1,50,0.4,10,0.37325,0.3595
10,1,60,0.0,4,0.06425,
10,1,60,0.0,6,0.0415,
10,1,60,0.0,10,0.01925,
10,1,60,0.3,4,0.335,0.29875
10,1,60,0.3,6,0.26875,0.2425
10,1,60,0.3,10,0.20625,0.18975
10,1,60,0.4,4,0.62725,0.60675
10,1,60,0.4,6,0.56075,0.546
10,1,60,0.4,10,0.48275,0.47425
10,1,72,0.0,4,0.059,
10,1,72,0.0,6,0.03925,
10,1,72,0.0,10,0.02075,
10,1,72,0.3,4,0.415,0.383
10,1,72,0.3,6,0.35075,0.328
10,1,72,0.3,10,0.27625,0.26475
10,1,72,0.4,4,0.73525,0.72025
10,1,72,0.4,6,0.67625,0.666
10,1,72,0.4,10,0.6065,0.5975
10,1,85,0.0,4,0.05275,
10,1,85,0.0,6,0.03425,
10,1,85,0.0,10,0.01925,
10,1,85,0.3,4,0.4815,0.457
10,1,85,0.3,6,0.4185,0.40325
10,1,85,0.3,10,0.3455,0.33525
10,1,85,0.4,4,0.828,0.82
10,1,85,0.4,6,0.78375,0.777
10,1,85,0.4,10,0.72675,0.72325
10,1,100,0.0,4,0.04675,
10,1,100,0.0,6,0.02725,
10,1,100,0.0,10,0.01525,
10,1,100,0.3,4,0.57375,0.55575
10,1,100,0.3,6,0.511,0.49975
10,1,100,0.3,10,0.4345,0.427
10,1,100,0.4,4,0.896,0.89275
10,1,100,0.4,6,0.86425,0.86225
