n,rho,p_bf3,p_bf3_dir,p_bf6,p_bf6_dir,p_bf10,p_bf10_dir,p_nulo,bf_mediano
170,0.4,0.9957,0.9981,0.9909,0.9953,0.9865,0.9918,0.0002,109699.07777540672
170,0.5,1.0,1.0,0.9999,1.0,0.9999,0.9999,0.0,1563326380.4797573
175,0.0,0.0058,0.0049,0.0033,0.0027,0.0015,0.0018,0.9381,0.07534439622447839
175,0.1,0.0676,0.1052,0.0408,0.066,0.0279,0.0455,0.7056,0.14677403236473832
175,0.2,0.4301,0.5351,0.3389,0.4258,0.2796,0.3566,0.2169,1.8556372542598416
175,0.3,0.8925,0.9341,0.841,0.8901,0.798,0.8527,0.0168,186.95445767797068
175,0.4,0.9969,0.9985,0.9931,0.9965,0.9896,0.9942,0.0001,161193.16497076466
175,0.5,0.9999,1.0,0.9999,0.9999,0.9999,0.9999,0.0,2448526367.1448092
180,0.0,0.0055,0.0052,0.002,0.0023,0.0012,0.0011,0.9342,0.07454472458323404
180,0.1,0.072,0.1119,0.0459,0.0699,0.0334,0.0497,0.6971,0.14552574824554895
180,0.2,0.4553,0.5479,0.3617,0.4504,0.3058,0.3802,0.2036,2.18380362066912
180,0.3,0.9034,0.939,0.8548,0.9014,0.8152,0.8633,0.0124,244.54815168000786
180,0.4,0.9974,0.9985,0.9947,0.9972,0.9912,0.9954,0.0,262677.5580015285
180,0.5,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.0,6406107443.67493
185,0.0,0.0052,0.0061,0.0029,0.0028,0.0016,0.0016,0.9384,0.07381875568861802
185,0.1,0.0719,0.1103,0.0444,0.0703,0.0303,0.0483,0.7003,0.147036200463631
185,0.2,0.4715,0.57,0.3748,0.4678,0.3122,0.3918,0.1977,2.441381560353471
185,0.3,0.9102,0.9439,0.8624,0.9083,0.8244,0.8717,0.0098,281.27745754349854
185,0.4,0.9988,0.9995,0.9958,0.9988,0.9936,0.9965,0.0,425077.5697689158
185,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,10072564219.728838
190,0.0,0.0054,0.0058,0.0023,0.0032,0.0014,0.0017,0.9418,0.0715516777208049
190,0.1,0.0727,0.1137,0.0456,0.0726,0.0329,0.0489,0.6915,0.15128591001935324
190,0.2,0.4676,0.5723,0.3794,0.466,0.3169,0.3952,0.1934,2.415087158425475
190,0.3,0.9246,0.9534,0.8832,0.9239,0.848,0.8906,0.0104,392.54860377922034
190,0.4,0.998,0.9991,0.9963,0.998,0.9932,0.9968,0.0,605458.0175073827
190,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,22171078968.86659
195,0.0,0.0052,0.0066,0.002,0.0027,0.001,0.0019,0.9355,0.07175793719569307
195,0.1,0.0751,0.1176,0.0458,0.0725,0.0322,0.0507,0.6872,0.1529958268324821
195,0.2,0.486,0.5833,0.3985,0.4786,0.3375,0.4157,0.1781,2.7139291032357082
195,0.3,0.9258,0.9529,0.8832,0.9219,0.8496,0.8935,0.0092,439.883637912706
195,0.4,0.9991,0.9998,0.998,0.999,0.9963,0.9982,0.0,958648.255754172
195,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,41775643932.54261
200,0.0,0.0043,0.0048,0.0016,0.0021,0.001,0.001,0.9399,0.07075972225352374
200,0.1,0.0785,0.118,0.0514,0.0762,0.035,0.0571,0.6917,0.15029381514653897
200,0.2,0.5035,0.6086,0.4065,0.498,0.3413,0.4269,0.1694,3.0779033513993044
200,0.3,0.9286,0.9605,0.8937,0.9273,0.8587,0.9018,0.0073,527.9712507428186
200,0.4,0.9986,0.9992,0.9973,0.9985,0.9952,0.9976,0.0001,1285076.534710237
200,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,104705121285.88861
