K,n_total,n_por_grupo,d,d_h,umbral_bf,p_any,p_true
10,120,60,0.5,0.0,4,0.421,0.40075
10,120,60,0.5,0.0,6,0.36325,0.35
10,120,60,0.5,0.0,10,0.2925,0.284
10,120,60,0.65,0.0,4,0.70425,0.692
10,120,60,0.65,0.0,6,0.646,0.63875
10,120,60,0.65,0.0,10,0.5735,0.56825
10,120,60,0.7,0.0,4,0.7845,0.77725
10,120,60,0.7,0.0,6,0.73825,0.73275
10,120,60,0.7,0.0,10,0.67325,0.6685
10,120,60,0.8,0.0,4,0.9015,0.89625
10,120,60,0.8,0.0,6,0.8695,0.8655
10,120,60,0.8,0.0,10,0.8305,0.828
10,120,60,1.0,0.0,4,0.98925,0.989
10,120,60,1.0,0.0,6,0.98625,0.986
10,120,60,1.0,0.0,10,0.97775,0.9775
10,160,80,0.0,0.0,4,0.0375,
10,160,80,0.0,0.0,6,0.02425,
10,160,80,0.0,0.0,10,0.01375,
10,160,80,0.5,0.0,4,0.5685,0.55325
10,160,80,0.5,0.0,6,0.504,0.49175
10,160,80,0.5,0.0,10,0.43525,0.42775
10,160,80,0.65,0.0,4,0.848,0.84425
10,160,80,0.65,0.0,6,0.8105,0.807
10,160,80,0.65,0.0,10,0.75725,0.755
10,160,80,0.7,0.0,4,0.91025,0.908
10,160,80,0.7,0.0,6,0.884,0.882
10,160,80,0.7,0.0,10,0.847,0.8455
10,160,80,0.8,0.0,4,0.97375,0.973
10,160,80,0.8,0.0,6,0.9635,0.9625
10,160,80,0.8,0.0,10,0.94625,0.94525
10,160,80,1.0,0.0,4,0.999,0.999
10,160,80,1.0,0.0,6,0.99825,0.99825
10,160,80,1.0,0.0,10,0.99725,0.99725
14,48,24,0.0,0.0,4,0.10675,
14,48,24,0.0,0.0,6,0.07075,
14,48,24,0.0,0.0,10,0.03975,
14,48,24,0.5,0.0,4,0.178,0.099
14,48,24,0.5,0.0,6,0.13375,0.0765
14,48,24,0.5,0.0,10,0.084,0.05
14,48,24,0.65,0.0,4,0.2615,0.19125
14,48,24,0.65,0.0,6,0.20075,0.15225
14,48,24,0.65,0.0,10,0.143,0.1145
14,48,24,0.7,0.0,4,0.275,0.21275
14,48,24,0.7,0.0,6,0.21075,0.1675
14,48,24,0.7,0.0,10,0.15,0.127
14,48,24,0.8,0.0,4,0.38275,0.3265
14,48,24,0.8,0.0,6,0.3105,0.26975
14,48,24,0.8,0.0,10,0.23525,0.21075
14,48,24,1.0,0.0,4,0.55675,0.521
14,48,24,1.0,0.0,6,0.4795,0.45225
14,48,24,1.0,0.0,10,0.39175,0.3715
14,60,30,0.0,0.0,4,0.09625,
14,60,30,0.0,0.0,6,0.0655,
14,60,30,0.0,0.0,10,0.03875,
14,60,30,0.5,0.0,4,0.21475,0.148
14,60,30,0.5,0.0,6,0.1625,0.1115
14,60,30,0.5,0.0,10,0.1105,0.0805
14,60,30,0.65,0.0,4,0.34,0.288
14,60,30,0.65,0.0,6,0.2715,0.23425
14,60,30,0.65,0.0,10,0.20225,0.1815
14,60,30,0.7,0.0,4,0.378,0.33075
14,60,30,0.7,0.0,6,0.31075,0.27575
14,60,30,0.7,0.0,10,0.23825,0.2175
14,60,30,0.8,0.0,4,0.5115,0.47175
14,60,30,0.8,0.0,6,0.43425,0.40675
14,60,30,0.8,0.0,10,0.35025,0.33325
14,60,30,1.0,0.0,4,0.72625,0.70525
14,60,30,1.0,0.0,6,0.65975,0.6435
14,60,30,1.0,0.0,10,0.58075,0.5705
14,72,36,0.0,0.0,4,0.08175,
14,72,36,0.0,0.0,6,0.04675,
14,72,36,0.0,0.0,10,0.02925,
14,72,36,0.5,0.0,4,0.25425,0.19375
14,72,36,0.5,0.0,6,0.19275,0.15425
14,72,36,0.5,0.0,10,0.13525,0.11
14,72,36,0.65,0.0,4,0.40925,0.37
14,72,36,0.65,0.0,6,0.33675,0.30975
14,72,36,0.65,0.0,10,0.2655,0.249
14,72,36,0.7,0.0,4,0.47275,0.42975
14,72,36,0.7,0.0,6,0.4005,0.36925
14,72,36,0.7,0.0,10,0.32575,0.30575
