n_por_grupo,d,p_bf3,p_bf6,p_bf10,p_nulo
44,0.0,0.01605674501194644,0.006820474920145455,0.003676805788501106,0.6590706968720104
44,0.5,0.45941298689300775,0.34089053108405887,0.2687252286917129,0.08227376750144524
44,0.65,0.7222812074289119,0.6096352756078487,0.5276765377617192,0.018350496090079188
44,0.8,0.8999212496382941,0.8331442159597598,0.7749963887918578,0.002633794940065874
44,1.0,0.9862007442043662,0.9702328861765213,0.9525233865931864,9.741542717776404e-05
46,0.0,0.015846875294084607,0.006748685166503511,0.003644058315384175,0.6694547513267628
46,0.5,0.4787618878233438,0.35948326091085897,0.2858382019125027,0.07763011062423576
46,0.65,0.743549105636191,0.6348338820066272,0.5543650168126847,0.016316364949910796
46,0.8,0.9133761766288776,0.8529352353871323,0.7992242105778977,0.0021613455093304227
46,1.0,0.9894190638735311,0.9766038590205987,0.9620399664437072,6.945486939081062e-05
48,0.0,0.01564483905809306,0.006678794256320974,0.0036118790465210922,0.6790010052254971
48,0.5,0.4977398022304721,0.37798187318847654,0.3030387350754779,0.0731449015073268
48,0.65,0.763500869843709,0.658913407858631,0.5802038161568669,0.014482771041417774
48,0.8,0.9251815574268913,0.870695740462759,0.8213154055975922,0.0017698060092862773
48,1.0,0.9919133381860022,0.9816812961814911,0.9697752842159398,4.937689332051028e-05
50,0.0,0.015450163066757899,0.006610750928629529,0.0035802847463206207,0.6878160651918237
50,0.5,0.5163294640089198,0.3963551778185323,0.32029233675318686,0.06883403868045639
50,0.65,0.7821788554357102,0.681863326152753,0.6051449821711913,0.012835578091113957
50,0.8,0.935509930396998,0.8865781489873067,0.8413784885887698,0.0014463678132463824
50,1.0,0.9938389134130594,0.9857088505825343,0.9760297165534274,3.50109416336646e-05
52,0.0,0.015262412391862448,0.006544500523712347,0.0035492849177236525,0.6959884106373226
52,0.5,0.5345159815000684,0.4145741942728706,0.33756607175575215,0.06470712446332387
52,0.65,0.7996296600361847,0.7036824776478393,0.6291516113218127,0.011360093674567157
52,0.8,0.9445215348668083,0.9007340322910456,0.859531568468711,0.001179938986826246
52,1.0,0.9953199646492025,0.9888894844741647,0.9810617753935621,2.4764932842875494e-05
54,0.0,0.015081186678908967,0.006479986510311461,0.0035188834245138095,0.7035921899391946
54,0.5,0.5522867073173634,0.43261210834891467,0.354828594746019,0.06076909845513734
54,0.65,0.8159030678041943,0.7243778914776079,0.652196926305833,0.010041679871933551
54,0.8,0.952363951514798,0.9133115438301715,0.8758985260794059,0.0009610182743636064
54,1.0,0.9964551235144626,0.9913907940230663,0.9850914859655927,1.7478484742229356e-05
56,0.0,0.014906116814603255,0.0064171516082288365,0.003489079762073477,0.7106900835447529
56,0.5,0.5696311086819839,0.450444222352039,0.3720501737968969,0.057021439123009894
56,0.65,0.8310511212019687,0.7439636780997223,0.6742633544939666,0.008866145526422507
56,0.8,0.9591721077595736,0.92445346708886,0.8906058249996213,0.0007815356788851858
56,1.0,0.9973222779894184,0.9933500852174305,0.9883042811680808,1.2310399531017535e-05
58,0.0,0.014736861954031809,0.006355938609550085,0.003459870051355211,0.717335494796143
58,0.5,0.5865406390404625,0.46804789947938635,0.38920270427826514,0.05346305804085714
