K,N,n_por_grupo,D,R2,d_h,power_bf4,power_bf6,power_bf10
14,40,20,0.8,0.13793103448275862,0.0,0.05725,0.0435,0.0285
14,40,20,1.0,0.2,0.0,0.09975,0.07225,0.04975
14,48,24,0.0,0.0,0.0,0.00725,0.00425,0.00275
14,48,24,0.5,0.058823529411764705,0.0,0.0185,0.01325,0.00875
14,48,24,0.65,0.09553420011305823,0.0,0.03675,0.0255,0.01775
14,48,24,0.7,0.10913140311804007,0.0,0.04975,0.03575,0.0235
14,48,24,0.8,0.13793103448275862,0.0,0.0625,0.0455,0.03325
14,48,24,1.0,0.2,0.0,0.13175,0.10575,0.07225
14,60,30,0.0,0.0,0.0,0.00425,0.0025,0.0005
14,60,30,0.5,0.058823529411764705,0.0,0.021,0.01625,0.01
14,60,30,0.65,0.09553420011305823,0.0,0.04425,0.03375,0.02225
14,60,30,0.7,0.10913140311804007,0.0,0.0535,0.0405,0.02875
14,60,30,0.8,0.13793103448275862,0.0,0.08375,0.064,0.04875
14,60,30,1.0,0.2,0.0,0.19475,0.16025,0.1235
14,72,36,0.0,0.0,0.0,0.006,0.004,0.002
14,72,36,0.5,0.058823529411764705,0.0,0.01975,0.01425,0.00975
14,72,36,0.65,0.09553420011305823,0.0,0.051,0.039,0.028
14,72,36,0.7,0.10913140311804007,0.0,0.06625,0.05275,0.03825
14,72,36,0.8,0.13793103448275862,0.0,0.1185,0.09475,0.07475
14,72,36,1.0,0.2,0.0,0.27275,0.23175,0.18725
14,84,42,0.0,0.0,0.0,0.00225,0.0015,0.00125
14,84,42,0.5,0.058823529411764705,0.0,0.0255,0.01975,0.01675
14,84,42,0.65,0.09553420011305823,0.0,0.06425,0.0525,0.038
14,84,42,0.7,0.10913140311804007,0.0,0.085,0.068,0.0515
14,84,42,0.8,0.13793103448275862,0.0,0.14425,0.11825,0.08625
14,84,42,1.0,0.2,0.0,0.34625,0.30875,0.25975
14,100,50,0.0,0.0,0.0,0.003,0.0015,0.00075
14,100,50,0.5,0.058823529411764705,0.0,0.0285,0.023,0.0155
14,100,50,0.65,0.09553420011305823,0.0,0.083,0.0695,0.053
14,100,50,0.7,0.10913140311804007,0.0,0.117,0.095,0.07525
14,100,50,0.8,0.13793103448275862,0.0,0.186,0.15625,0.12375
14,100,50,1.0,0.2,0.0,0.45875,0.4145,0.3605
14,120,60,0.0,0.0,0.0,0.00125,0.0005,0.0005
14,120,60,0.5,0.058823529411764705,0.0,0.0365,0.02825,0.02125
14,120,60,0.65,0.09553420011305823,0.0,0.10025,0.08475,0.06325
14,120,60,0.7,0.10913140311804007,0.0,0.14025,0.121,0.09975
14,120,60,0.8,0.13793103448275862,0.0,0.25325,0.2235,0.18875
14,120,60,1.0,0.2,0.0,0.581,0.5375,0.49225
14,160,80,0.0,0.0,0.0,0.00025,0.00025,0.00025
14,160,80,0.5,0.058823529411764705,0.0,0.048,0.04225,0.032
14,160,80,0.65,0.09553420011305823,0.0,0.164,0.13925,0.11975
14,160,80,0.7,0.10913140311804007,0.0,0.2385,0.208,0.17225
14,160,80,0.8,0.13793103448275862,0.0,0.41425,0.37925,0.332
14,160,80,1.0,0.2,0.0,0.80125,0.772,0.73175
14,200,100,0.0,0.0,0.0,0.00025,0.00025,0.00025
14,200,100,0.5,0.058823529411764705,0.0,0.0625,0.05075,0.04075
14,200,100,0.65,0.09553420011305823,0.0,0.2355,0.206,0.175
14,200,100,0.7,0.10913140311804007,0.0,0.35775,0.3265,0.286
14,200,100,0.8,0.13793103448275862,0.0,0.57975,0.54275,0.49425
14,200,100,1.0,0.2,0.0,0.912,0.89975,0.8775
14,240,120,0.0,0.0,0.0,0.0,0.0,0.0
14,240,120,0.5,0.058823529411764705,0.0,0.08225,0.071,0.056
14,240,120,0.65,0.09553420011305823,0.0,0.333,0.30425,0.26825
14,240,120,0.7,0.10913140311804007,0.0,0.4665,0.42875,0.38375
14,240,120,0.8,0.13793103448275862,0.0,0.71025,0.68325,0.63975
14,240,120,1.0,0.2,0.0,0.97375,0.96725,0.957
14,280,140,0.0,0.0,0.0,0.0005,0.0005,0.00025
14,280,140,0.5,0.058823529411764705,0.0,0.11575,0.0985,0.07975
14,280,140,0.65,0.09553420011305823,0.0,0.437,0.4055,0.364
14,280,140,0.7,0.10913140311804007,0.0,0.578,0.54325,0.49875
14,280,140,0.8,0.13793103448275862,0.0,0.829,0.805,0.77625
14,280,140,1.0,0.2,0.0,0.9905,0.98825,0.98325
14,320,160,0.0,0.0,0.0,0.00025,0.00025,0.00025
14,320,160,0.5,0.058823529411764705,0.0,0.16,0.13875,0.11525
14,320,160,0.65,0.09553420011305823,0.0,0.55075,0.5205,0.47525
14,320,160,0.7,0.10913140311804007,0.0,0.691,0.66025,0.62875
14,320,160,0.8,0.13793103448275862,0.0,0.9055,0.89125,0.87125
14,320,160,1.0,0.2,0.0,0.998,0.99725,0.99475
20,40,20,0.0,0.0,0.0,0.0085,0.00675,0.00525
20,40,20,0.5,0.058823529411764705,0.0,0.01725,0.012,0.0075
20,40,20,0.65,0.09553420011305823,0.0,0.02625,0.01875,0.011
20,40,20,0.7,0.10913140311804007,0.0,0.0265,0.0185,0.012
20,40,20,0.8,0.13793103448275862,0.0,0.04275,0.032,0.02225
20,40,20,1.0,0.2,0.0,0.0595,0.04275,0.0255
20,48,24,0.0,0.0,0.0,0.0075,0.00475,0.0035
20,48,24,0.5,0.058823529411764705,0.0,0.01375,0.009,0.00625
20,48,24,0.65,0.09553420011305823,0.0,0.026,0.018,0.0125
20,48,24,0.7,0.10913140311804007,0.0,0.03,0.02325,0.015
20,48,24,0.8,0.13793103448275862,0.0,0.04425,0.03475,0.02075
20,48,24,1.0,0.2,0.0,0.071,0.05325,0.03875
20,60,30,0.0,0.0,0.0,0.0045,0.00325,0.0015
20,60,30,0.5,0.058823529411764705,0.0,0.0125,0.00875,0.0065
20,60,30,0.65,0.09553420011305823,0.0,0.02575,0.01925,0.01375
20,60,30,0.7,0.10913140311804007,0.0,0.03325,0.02425,0.014
20,60,30,0.8,0.13793103448275862,0.0,0.05,0.039,0.02625
20,60,30,1.0,0.2,0.0,0.11025,0.0875,0.0655
20,72,36,0.0,0.0,0.0,0.00275,0.002,0.00175
20,72,36,0.5,0.058823529411764705,0.0,0.013,0.00875,0.00725
20,72,36,0.65,0.09553420011305823,0.0,0.03025,0.02325,0.01625
20,72,36,0.7,0.10913140311804007,0.0,0.038,0.0285,0.0205
20,72,36,0.8,0.13793103448275862,0.0,0.06225,0.0505,0.039
20,72,36,1.0,0.2,0.0,0.1515,0.1245,0.097
20,84,42,0.0,0.0,0.0,0.00075,0.0005,0.0005
20,84,42,0.5,0.058823529411764705,0.0,0.01375,0.01125,0.00875
20,84,42,0.65,0.09553420011305823,0.0,0.034,0.0255,0.01725
20,84,42,0.7,0.10913140311804007,0.0,0.04075,0.029,0.02025
20,84,42,0.8,0.13793103448275862,0.0,0.072,0.058,0.04425
20,84,42,1.0,0.2,0.0,0.2,0.1665,0.131
20,100,50,0.0,0.0,0.0,0.001,0.00075,0.0005
20,100,50,0.5,0.058823529411764705,0.0,0.01675,0.01075,0.00775
20,100,50,0.65,0.09553420011305823,0.0,0.042,0.03425,0.0255
20,100,50,0.7,0.10913140311804007,0.0,0.05375,0.0415,0.032
20,100,50,0.8,0.13793103448275862,0.0,0.1005,0.0855,0.0655
20,100,50,1.0,0.2,0.0,0.279,0.23975,0.20175
20,120,60,0.0,0.0,0.0,0.00075,0.00025,0.00025
20,120,60,0.5,0.058823529411764705,0.0,0.0155,0.01175,0.00775
20,120,60,0.65,0.09553420011305823,0.0,0.04625,0.037,0.02875
20,120,60,0.7,0.10913140311804007,0.0,0.07225,0.0585,0.046
20,120,60,0.8,0.13793103448275862,0.0,0.14575,0.1235,0.10325
20,120,60,1.0,0.2,0.0,0.39425,0.35675,0.30975
20,160,80,0.0,0.0,0.0,0.0005,0.0005,0.0005
20,160,80,0.5,0.058823529411764705,0.0,0.01725,0.01375,0.011
20,160,80,0.65,0.09553420011305823,0.0,0.075,0.064,0.05
