K,n_true,n,rho,umbral_bf,p_any,p_true
5,1,120,0.4,6,0.9325,0.932
5,1,120,0.4,10,0.904,0.9035
5,1,140,0.0,4,0.0165,
5,1,140,0.0,6,0.01,
5,1,140,0.0,10,0.00625,
5,1,140,0.3,4,0.76075,0.75675
5,1,140,0.3,6,0.714,0.71175
5,1,140,0.3,10,0.656,0.654
5,1,140,0.4,4,0.97675,0.9765
5,1,140,0.4,6,0.967,0.96675
5,1,140,0.4,10,0.95125,0.95125
5,1,160,0.0,4,0.02125,
5,1,160,0.0,6,0.013,
5,1,160,0.0,10,0.007,
5,1,160,0.3,4,0.832,0.83
5,1,160,0.3,6,0.794,0.7925
5,1,160,0.3,10,0.7405,0.73925
5,1,160,0.4,4,0.99,0.99
5,1,160,0.4,6,0.987,0.987
5,1,160,0.4,10,0.9795,0.9795
10,1,40,0.0,4,0.08525,
10,1,40,0.0,6,0.05625,
10,1,40,0.0,10,0.0325,
10,1,40,0.3,4,0.2135,0.16075
10,1,40,0.3,6,0.163,0.1285
10,1,40,0.3,10,0.1125,0.0935
10,1,40,0.4,4,0.39875,0.357
10,1,40,0.4,6,0.31725,0.289
10,1,40,0.4,10,0.236,0.22
10,1,50,0.0,4,0.08025,
10,1,50,0.0,6,0.051,
10,1,50,0.0,10,0.0295,
10,1,50,0.3,4,0.27675,0.232
10,1,50,0.3,6,0.2165,0.18375
10,1,50,0.3,10,0.1575,0.13725
10,1,50,0.4,4,0.5065,0.47825
10,1,50,0.4,6,0.436,0.41525
10,1,50,0.4,10,0.35675,0.34275
10,1,60,0.0,4,0.06425,
10,1,60,0.0,6,0.0415,
10,1,60,0.0,10,0.01925,
10,1,60,0.3,4,0.32175,0.28425
10,1,60,0.3,6,0.26075,0.2335
10,1,60,0.3,10,0.1965,0.17975
10,1,60,0.4,4,0.60975,0.58875
10,1,60,0.4,6,0.54125,0.526
10,1,60,0.4,10,0.46375,0.455
10,1,72,0.0,4,0.059,
10,1,72,0.0,6,0.03925,
10,1,72,0.0,10,0.02075,
10,1,72,0.3,4,0.4005,0.3675
10,1,72,0.3,6,0.33775,0.3145
10,1,72,0.3,10,0.2635,0.25175
10,1,72,0.4,4,0.717,0.70075
10,1,72,0.4,6,0.654,0.64275
10,1,72,0.4,10,0.586,0.57675
10,1,85,0.0,4,0.05275,
10,1,85,0.0,6,0.03425,
10,1,85,0.0,10,0.01925,
10,1,85,0.3,4,0.4655,0.441
10,1,85,0.3,6,0.405,0.3895
10,1,85,0.3,10,0.3295,0.319
10,1,85,0.4,4,0.81125,0.8025
10,1,85,0.4,6,0.7655,0.75875
10,1,85,0.4,10,0.70575,0.7015
10,1,100,0.0,4,0.04675,
10,1,100,0.0,6,0.02725,
10,1,100,0.0,10,0.01525,
10,1,100,0.3,4,0.56075,0.54225
10,1,100,0.3,6,0.49175,0.48025
10,1,100,0.3,10,0.41975,0.41225
10,1,100,0.4,4,0.88575,0.882
10,1,100,0.4,6,0.84825,0.846
10,1,100,0.4,10,0.798,0.7975
10,1,120,0.0,4,0.03925,
10,1,120,0.0,6,0.0255,
10,1,120,0.0,10,0.0165,
10,1,120,0.3,4,0.67225,0.6615
10,1,120,0.3,6,0.61325,0.605
10,1,120,0.3,10,0.53825,0.531
10,1,120,0.4,4,0.94475,0.94375
10,1,120,0.4,6,0.92475,0.92325
10,1,120,0.4,10,0.893,0.8915
10,1,140,0.0,4,0.04325,
10,1,140,0.0,6,0.02675,
10,1,140,0.0,10,0.016,
10,1,140,0.3,4,0.75175,0.74075
10,1,140,0.3,6,0.70275,0.6945
10,1,140,0.3,10,0.6345,0.6295
10,1,140,0.4,4,0.974,0.9725
10,1,140,0.4,6,0.96575,0.9645
10,1,140,0.4,10,0.948,0.94725
10,1,160,0.0,4,0.0395,
10,1,160,0.0,6,0.025,
10,1,160,0.0,10,0.01375,
10,1,160,0.3,4,0.815,0.81075
10,1,160,0.3,6,0.77575,0.7735
10,1,160,0.3,10,0.72425,0.722
10,1,160,0.4,4,0.9905,0.99
10,1,160,0.4,6,0.9865,0.986
10,1,160,0.4,10,0.9785,0.978
14,1,40,0.0,4,0.1145,
14,1,40,0.0,6,0.0745,
14,1,40,0.0,10,0.04275,
14,1,40,0.3,4,0.2205,0.13425
14,1,40,0.3,6,0.1645,0.104
14,1,40,0.3,10,0.113,0.075
14,1,40,0.4,4,0.34325,0.2865
14,1,40,0.4,6,0.27175,0.233
14,1,40,0.4,10,0.19975,0.176
14,1,50,0.0,4,0.10325,
14,1,50,0.0,6,0.06575,
14,1,50,0.0,10,0.03775,
14,1,50,0.3,4,0.26525,0.19825
14,1,50,0.3,6,0.20675,0.15725
14,1,50,0.3,10,0.14575,0.11625
14,1,50,0.4,4,0.4805,0.431
14,1,50,0.4,6,0.40625,0.3705
14,1,50,0.4,10,0.31975,0.29825
14,1,60,0.0,4,0.09375,
14,1,60,0.0,6,0.0595,
14,1,60,0.0,10,0.03675,
14,1,60,0.3,4,0.312,0.26225
